Data Number,Hour,Minute,Data Value
27,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
28,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
29,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n', '55.62\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
30,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n', '55.62\r\n', '55.60\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
31,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n', '55.62\r\n', '55.60\r\n', '55.21\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
32,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n', '55.62\r\n', '55.60\r\n', '55.21\r\n', '55.51\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
33,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n', '55.62\r\n', '55.60\r\n', '55.21\r\n', '55.51\r\n', '56.01\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
34,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n', '55.62\r\n', '55.60\r\n', '55.21\r\n', '55.51\r\n', '56.01\r\n', '55.50\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
35,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n', '55.62\r\n', '55.60\r\n', '55.21\r\n', '55.51\r\n', '56.01\r\n', '55.50\r\n', '55.65\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
36,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n', '55.62\r\n', '55.60\r\n', '55.21\r\n', '55.51\r\n', '56.01\r\n', '55.50\r\n', '55.65\r\n', '55.21\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
37,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n', '54.38\r\n', '55.65\r\n', '55.62\r\n', '55.60\r\n', '55.21\r\n', '55.51\r\n', '56.01\r\n', '55.50\r\n', '55.65\r\n', '55.21\r\n', '56.03\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
