Data Number,Hour,Minute,Data Value
24,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
25,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
26,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
27,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
28,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
29,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n', '30.13\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
30,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n', '30.13\r\n', '37.95\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
31,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n', '30.13\r\n', '37.95\r\n', '37.13\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
32,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n', '30.13\r\n', '37.95\r\n', '37.13\r\n', '29.41\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
33,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n', '30.13\r\n', '37.95\r\n', '37.13\r\n', '29.41\r\n', '30.80\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
34,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n', '30.13\r\n', '37.95\r\n', '37.13\r\n', '29.41\r\n', '30.80\r\n', '48.07\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
35,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n', '30.13\r\n', '37.95\r\n', '37.13\r\n', '29.41\r\n', '30.80\r\n', '48.07\r\n', '36.65\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
36,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n', '30.13\r\n', '37.95\r\n', '37.13\r\n', '29.41\r\n', '30.80\r\n', '48.07\r\n', '36.65\r\n', '39.02\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
37,11,2,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36], 'valueRecord': ['28.59\r\n', '29.21\r\n', '28.79\r\n', '28.79\r\n', '27.78\r\n', '28.59\r\n', '28.59\r\n', '28.18\r\n', '24.54\r\n', '29.38\r\n', '29.82\r\n', '28.13\r\n', '30.63\r\n', '31.44\r\n', '34.37\r\n', '33.49\r\n', '33.10\r\n', '31.35\r\n', '29.62\r\n', '29.21\r\n', '27.92\r\n', '28.79\r\n', '27.66\r\n', '29.93\r\n', '28.64\r\n', '28.07\r\n', '28.02\r\n', '29.29\r\n', '30.13\r\n', '37.95\r\n', '37.13\r\n', '29.41\r\n', '30.80\r\n', '48.07\r\n', '36.65\r\n', '39.02\r\n', '42.63\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]}"
